"You request for discount product %1 accepted for review!","You request for discount product %1 accepted for review!"
"Your request can't be sent. Please, contact us if you see this message.","Your request can't be sent. Please, contact us if you see this message."
"Discount Request","Discount Request"
Name,Name
Email,Email
Message,Message
"Send Request","Send Request"
"Please login to your account to participate in this discount program!","Please login to your account to participate in this discount program!"
"Regular Discount","Regular Discount"
"Loyalty program","Loyalty Program"
"Loyalty Program For Regular Customers","Loyalty Program For Regular Customers"
"The discount is provided to regular registered customers on condition of purchase of several goods and is valid from the second and subsequent purchases!","The discount is provided to regular registered customers on condition of purchase of several goods and is valid from the second and subsequent purchases!"
"Your general discount request has been submitted!","Your general discount request has been submitted!"
"General Discount Request","General Discount Request"
"Requested product:","Requested product:"
"Email: %1","Email: %1"
"Personal Discount","Personal Discount"
"Requested product: %1","Requested product: %1"
"My Requests","My Requests"
"Personal Discount Requests List","Personal Discount Requests List"
"Name: %1","Name: %1"
"Request Personal Discount","Request Personal Discount"
"Posting your request...","Posting your request..."
