"You request for discount product %1 accepted for review!","Ваш запит на знижку для продукту %1 прийнято на розгляд!"
"Your request can't be sent. Please, contact us if you see this message.","Ваш запит не може бути відправлено. Будь ласка, зв'яжіться з нами якщо ви бачите це повідомлення."
"Discount Request","Персональна знижка"
Name,Ім'я
"Email","Електронна пошта"
"Message","Повідомлення"
"Send Request","Відправити запит"
"Please login to your account to participate in this discount program!","Будь ласка, увійдіть у свій обліковий запис, щоб взяти участь у цій програмі знижок!"
"Regular Discount","Регулярна знижка"
"Loyalty Program","Програма лояльності"
"Loyalty Program For Regular Customers","Програма лояльності для постійних клієнтів"
"The discount is provided to regular registered customers on condition of purchase of several goods and is valid from the second and subsequent purchases!","Знижка надається зареестрованим клієнтам за умови покупки декількох товарів і діє з другої та послідуючих покупок!"
"Your general discount request has been submitted!","Ваш загальний запит на знижку надіслано на розгляд!"
"General Discount Request","Загальний запит на знижку"
"Requested product:","Продукт:"
"Email: %1","Емейл: %1"
"Personal Discount","Персональна знижка"
"Requested product: %1","Запит на продукт: %1"
"My Requests","Мої запити"
"Personal Discount Requests List","Персональний список запитів на знижки"
"Name: %1","Ім'я: %1"
"Request Personal Discount","Запит на персональну знижку"
"Posting your request...","Опублікування вашого запиту..."
